Timestamp,GSR
1176661.80419922,35129
1176669.61669922,35131
1176677.42919922,35130
1176685.24169922,35129
1176693.05419922,35128
1176700.86669922,35131
1176708.67919922,35130
1176716.49169922,35131
1176724.30419922,35126
1176732.11669922,35129
1176739.92919922,35127
1176747.74169922,35129
1176755.55419922,35126
1176763.36669922,35128
1176771.17919922,35127
1176778.99169922,35125
1176786.80419922,35124
1176794.61669922,35126
1176802.42919922,35125
1176810.24169922,35127
1176818.05419922,35123
1176825.86669922,35125
1176833.67919922,35124
1176841.49169922,35122
1176849.30419922,35122
1176857.11669922,35123
1176864.92919922,35123
1176872.74169922,35121
1176880.55419922,35121
1176888.36669922,35123
1176896.17919922,35121
1176903.99169922,35124
1176911.80419922,35120
1176919.61669922,35122
1176927.42919922,35121
1176935.24169922,35120
1176943.05419922,35119
1176950.86669922,35122
1176958.67919922,35120
1176966.49169922,35121
1176974.30419922,35119
1176982.11669922,35120
1176989.92919922,35120
1176997.74169922,35119
1177005.55419922,35118
1177013.36669922,35120
1177021.17919922,35119
1177028.99169922,35118
1177036.80419922,35117
1177044.61669922,35120
1177052.42919922,35118
1177060.24169922,35121
1177068.05419922,35117
1177075.86669922,35120
1177083.67919922,35120
1177091.49169922,35118
1177099.30419922,35118
1177107.11669922,35120
1177114.92919922,35119
1177122.74169922,35121
1177130.55419922,35118
1177138.36669922,35120
1177146.17919922,35119
1177153.99169922,35119
1177161.80419922,35118
1177169.61669922,35120
1177177.42919922,35119
1177185.24169922,35121
1177193.05419922,35118
1177200.86669922,35120
1177208.67919922,35120
1177216.49169922,35120
1177224.30419922,35119
1177232.11669922,35121
1177239.92919922,35119
1177247.74169922,35120
1177255.55419922,35121
1177263.36669922,35122
1177271.17919922,35122
1177278.99169922,35123
1177286.80419922,35120
1177294.61669922,35123
1177302.42919922,35122
1177310.24169922,35121
1177318.05419922,35121
1177325.86669922,35123
1177333.67919922,35122
1177341.49169922,35122
1177349.30419922,35125
1177357.11669922,35124
1177364.92919922,35123
1177372.74169922,35125
1177380.55419922,35122
1177388.36669922,35125
1177396.17919922,35123
1177403.99169922,35123
1177411.80419922,35123
1177419.61669922,35125
1177427.42919922,35125
1177435.24169922,35124
1177443.05419922,35124
1177450.86669922,35127
1177458.67919922,35125
1177466.49169922,35128
1177474.30419922,35125
1177482.11669922,35127
1177489.92919922,35126
1177497.74169922,35125
1177505.55419922,35126
1177513.36669922,35128
1177521.17919922,35127
1177528.99169922,35129
1177536.80419922,35127
1177544.61669922,35128
1177552.42919922,35128
1177560.24169922,35129
1177568.05419922,35127
1177575.86669922,35129
1177583.67919922,35129
1177591.49169922,35130
1177599.30419922,35128
1177607.11669922,35131
1177614.92919922,35129
1177622.74169922,35128
1177630.55419922,35129
1177638.36669922,35131
1177646.17919922,35129
1177653.99169922,35132
1177661.80419922,35130
1177669.61669922,35131
1177677.42919922,35130
1177685.24169922,35130
1177693.05419922,35130
1177700.86669922,35132
1177708.67919922,35130
1177716.49169922,35130
1177724.30419922,35129
1177732.11669922,35132
1177739.92919922,35130
1177747.74169922,35133
1177755.55419922,35129
1177763.36669922,35133
1177771.17919922,35131
1177778.99169922,35133
1177786.80419922,35131
1177794.61669922,35133
1177802.42919922,35132
1177810.24169922,35131
1177818.05419922,35131
1177825.86669922,35133
1177833.67919922,35131
1177841.49169922,35134
1177849.30419922,35131
1177857.11669922,35133
1177864.92919922,35132
1177872.74169922,35131
1177880.55419922,35131
1177888.36669922,35134
1177896.17919922,35131
1177903.99169922,35135
1177911.80419922,35131
1177919.61669922,35134
1177927.42919922,35133
1177935.24169922,35134
1177943.05419922,35131
1177950.86669922,35133
1177958.67919922,35132
1177966.49169922,35131
1177974.30419922,35132
1177982.11669922,35133
1177989.92919922,35133
1177997.74169922,35135
1178005.55419922,35132
1178013.36669922,35134
1178021.17919922,35132
1178028.99169922,35131
1178036.80419922,35131
1178044.61669922,35134
1178052.42919922,35133
1178060.24169922,35135
1178068.05419922,35131
1178075.86669922,35133
1178083.67919922,35131
1178091.49169922,35135
1178099.30419922,35131
1178107.11669922,35133
1178114.92919922,35131
1178122.74169922,35134
1178130.55419922,35131
1178138.36669922,35133
1178146.17919922,35131
1178153.99169922,35134
1178161.80419922,35130
1178169.61669922,35133
1178177.42919922,35131
1178185.24169922,35131
1178193.05419922,35129
1178200.86669922,35132
1178208.67919922,35131
1178216.49169922,35131
1178224.30419922,35129
1178232.11669922,35131
1178239.92919922,35130
1178247.74169922,35131
1178255.55419922,35129
1178263.36669922,35130
1178271.17919922,35128
1178278.99169922,35128
1178286.80419922,35131
1178294.61669922,35130
1178302.42919922,35128
1178310.24169922,35128
1178318.05419922,35127
1178325.86669922,35130
1178333.67919922,35128
1178341.49169922,35127
1178349.30419922,35126
1178357.11669922,35128
1178364.92919922,35127
1178372.74169922,35128
1178380.55419922,35125
1178388.36669922,35127
1178396.17919922,35125
1178403.99169922,35127
1178411.80419922,35124
1178419.61669922,35127
1178427.42919922,35124
1178435.24169922,35123
1178443.05419922,35127
1178450.86669922,35126
1178458.67919922,35122
1178466.49169922,35125
1178474.30419922,35122
1178482.11669922,35124
1178489.92919922,35123
1178497.74169922,35122
1178505.55419922,35124
1178513.36669922,35123
1178521.17919922,35121
1178528.99169922,35124
1178536.80419922,35120
1178544.61669922,35122
1178552.42919922,35119
1178560.24169922,35119
1178568.05419922,35120
1178575.86669922,35121
1178583.67919922,35119
1178591.49169922,35122
1178599.30419922,35118
1178607.11669922,35120
1178614.92919922,35119
1178622.74169922,35121
1178630.55419922,35118
1178638.36669922,35119
1178646.17919922,35117
1178653.99169922,35119
1178661.80419922,35117
1178669.61669922,35118
1178677.42919922,35115
1178685.24169922,35115
1178693.05419922,35116
1178700.86669922,35117
1178708.67919922,35116
1178716.49169922,35114
1178724.30419922,35114
1178732.11669922,35116
1178739.92919922,35115
1178747.74169922,35115
1178755.55419922,35114
1178763.36669922,35115
1178771.17919922,35112
1178778.99169922,35112
1178786.80419922,35112
1178794.61669922,35114
1178802.42919922,35112
1178810.24169922,35111
1178818.05419922,35114
1178825.86669922,35113
1178833.67919922,35111
1178841.49169922,35112
1178849.30419922,35111
1178857.11669922,35112
1178864.92919922,35110
1178872.74169922,35112
1178880.55419922,35105
1178888.36669922,35111
1178896.17919922,35111
1178903.99169922,35111
1178911.80419922,35108
1178919.61669922,35110
1178927.42919922,35109
1178935.24169922,35110
1178943.05419922,35110
1178950.86669922,35109
1178958.67919922,35107
1178966.49169922,35106
1178974.30419922,35105
1178982.11669922,35107
1178989.92919922,35106
1178997.74169922,35110
1179005.55419922,35103
1179013.36669922,35107
1179021.17919922,35105
1179028.99169922,35108
1179036.80419922,35103
1179044.61669922,35106
1179052.42919922,35105
1179060.24169922,35109
1179068.05419922,35104
1179075.86669922,35105
1179083.67919922,35103
1179091.49169922,35103
1179099.30419922,35099
1179107.11669922,35104
1179114.92919922,35103
1179122.74169922,35107
1179130.55419922,35101
1179138.36669922,35103
1179146.17919922,35101
1179153.99169922,35101
1179161.80419922,35101
1179169.61669922,35102
1179177.42919922,35100
1179185.24169922,35103
1179193.05419922,35099
1179200.86669922,35102
1179208.67919922,35100
1179216.49169922,35103
1179224.30419922,35100
1179232.11669922,35100
1179239.92919922,35098
1179247.74169922,35103
1179255.55419922,35094
1179263.36669922,35099
1179271.17919922,35097
1179278.99169922,35101
1179286.80419922,35095
1179294.61669922,35099
1179302.42919922,35096
1179310.24169922,35099
1179318.05419922,35095
1179325.86669922,35098
1179333.67919922,35096
1179341.49169922,35099
1179349.30419922,35092
1179357.11669922,35096
1179364.92919922,35095
1179372.74169922,35094
1179380.55419922,35092
1179388.36669922,35096
1179396.17919922,35095
1179403.99169922,35093
1179411.80419922,35093
1179419.61669922,35095
1179427.42919922,35093
1179435.24169922,35092
1179443.05419922,35092
1179450.86669922,35094
1179458.67919922,35093
1179466.49169922,35091
1179474.30419922,35092
1179482.11669922,35093
1179489.92919922,35092
1179497.74169922,35091
1179505.55419922,35091
1179513.36669922,35093
1179521.17919922,35090
1179528.99169922,35090
1179536.80419922,35093
1179544.61669922,35092
1179552.42919922,35091
1179560.24169922,35090
1179568.05419922,35089
1179575.86669922,35091
1179583.67919922,35091
1179591.49169922,35089
1179599.30419922,35089
1179607.11669922,35090
1179614.92919922,35088
1179622.74169922,35091
1179630.55419922,35088
1179638.36669922,35091
1179646.17919922,35089
1179653.99169922,35089
1179661.80419922,35087
1179669.61669922,35089
1179677.42919922,35090
1179685.24169922,35087
1179693.05419922,35087
1179700.86669922,35089
1179708.67919922,35088
1179716.49169922,35089
1179724.30419922,35088
1179732.11669922,35089
1179739.92919922,35088
1179747.74169922,35087
1179755.55419922,35088
1179763.36669922,35089
1179771.17919922,35087
1179778.99169922,35089
1179786.80419922,35087
1179794.61669922,35089
1179802.42919922,35087
1179810.24169922,35089
1179818.05419922,35086
1179825.86669922,35088
1179833.67919922,35087
1179841.49169922,35088
1179849.30419922,35087
1179857.11669922,35089
1179864.92919922,35088
1179872.74169922,35086
1179880.55419922,35087
1179888.36669922,35089
1179896.17919922,35087
1179903.99169922,35087
1179911.80419922,35088
1179919.61669922,35089
1179927.42919922,35088
1179935.24169922,35087
1179943.05419922,35087
1179950.86669922,35090
1179958.67919922,35088
1179966.49169922,35087
1179974.30419922,35090
1179982.11669922,35090
1179989.92919922,35089
1179997.74169922,35088
1180005.55419922,35088
1180013.36669922,35090
1180021.17919922,35088
1180028.99169922,35089
1180036.80419922,35090
1180044.61669922,35091
1180052.42919922,35089
1180060.24169922,35091
1180068.05419922,35089
1180075.86669922,35091
1180083.67919922,35090
1180091.49169922,35089
1180099.30419922,35089
1180107.11669922,35091
1180114.92919922,35091
1180122.74169922,35090
1180130.55419922,35092
1180138.36669922,35093
1180146.17919922,35091
1180153.99169922,35092
1180161.80419922,35091
1180169.61669922,35093
1180177.42919922,35091
1180185.24169922,35094
1180193.05419922,35093
1180200.86669922,35094
1180208.67919922,35093
1180216.49169922,35092
1180224.30419922,35094
1180232.11669922,35095
1180239.92919922,35094
1180247.74169922,35095
1180255.55419922,35093
1180263.36669922,35096
1180271.17919922,35093
1180278.99169922,35095
1180286.80419922,35096
1180294.61669922,35096
1180302.42919922,35095
1180310.24169922,35098
1180318.05419922,35095
1180325.86669922,35097
1180333.67919922,35095
1180341.49169922,35097
1180349.30419922,35097
1180357.11669922,35098
1180364.92919922,35096
1180372.74169922,35098
1180380.55419922,35096
1180388.36669922,35099
1180396.17919922,35098
1180403.99169922,35097
1180411.80419922,35098
1180419.61669922,35099
1180427.42919922,35099
1180435.24169922,35100
1180443.05419922,35098
1180450.86669922,35100
1180458.67919922,35099
1180466.49169922,35101
1180474.30419922,35101
1180482.11669922,35102
1180489.92919922,35100
1180497.74169922,35101
1180505.55419922,35100
1180513.36669922,35102
1180521.17919922,35101
1180528.99169922,35102
1180536.80419922,35101
1180544.61669922,35103
1180552.42919922,35100
1180560.24169922,35104
1180568.05419922,35102
1180575.86669922,35104
1180583.67919922,35103
1180591.49169922,35104
1180599.30419922,35103
1180607.11669922,35105
1180614.92919922,35103
1180622.74169922,35103
1180630.55419922,35103
1180638.36669922,35106
1180646.17919922,35103
1180653.99169922,35104
1180661.80419922,35105
1180669.61669922,35106
1180677.42919922,35105
1180685.24169922,35105
1180693.05419922,35105
1180700.86669922,35107
1180708.67919922,35107
1180716.49169922,35107
1180724.30419922,35106
1180732.11669922,35108
1180739.92919922,35106
1180747.74169922,35106
1180755.55419922,35109
1180763.36669922,35108
1180771.17919922,35107
1180778.99169922,35107
1180786.80419922,35108
1180794.61669922,35109
1180802.42919922,35108
1180810.24169922,35107
1180818.05419922,35109
1180825.86669922,35110
1180833.67919922,35108
1180841.49169922,35109
1180849.30419922,35109
1180857.11669922,35110
1180864.92919922,35109
1180872.74169922,35109
1180880.55419922,35109
1180888.36669922,35110
1180896.17919922,35110
1180903.99169922,35108
1180911.80419922,35110
1180919.61669922,35111
1180927.42919922,35110
1180935.24169922,35110
1180943.05419922,35109
1180950.86669922,35111
1180958.67919922,35111
1180966.49169922,35111
1180974.30419922,35110
1180982.11669922,35113
1180989.92919922,35111
1180997.74169922,35111
1181005.55419922,35111
1181013.36669922,35114
1181021.17919922,35112
1181028.99169922,35111
1181036.80419922,35112
1181044.61669922,35115
1181052.42919922,35113
1181060.24169922,35112
1181068.05419922,35113
1181075.86669922,35116
1181083.67919922,35114
1181091.49169922,35114
1181099.30419922,35115
1181107.11669922,35117
1181114.92919922,35116
1181122.74169922,35115
1181130.55419922,35117
1181138.36669922,35118
1181146.17919922,35116
1181153.99169922,35116
1181161.80419922,35120
1181169.61669922,35119
1181177.42919922,35118
1181185.24169922,35117
1181193.05419922,35119
1181200.86669922,35121
1181208.67919922,35121
1181216.49169922,35121
1181224.30419922,35124
1181232.11669922,35123
1181239.92919922,35122
1181247.74169922,35124
1181255.55419922,35122
1181263.36669922,35125
1181271.17919922,35123
1181278.99169922,35125
1181286.80419922,35125
1181294.61669922,35127
1181302.42919922,35127
1181310.24169922,35128
1181318.05419922,35126
1181325.86669922,35129
1181333.67919922,35129
1181341.49169922,35130
1181349.30419922,35129
1181357.11669922,35131
1181364.92919922,35131
1181372.74169922,35133
1181380.55419922,35132
1181388.36669922,35136
1181396.17919922,35133
1181403.99169922,35136
1181411.80419922,35136
1181419.61669922,35138
1181427.42919922,35136
1181435.24169922,35139
1181443.05419922,35139
1181450.86669922,35140
1181458.67919922,35140
1181466.49169922,35142
1181474.30419922,35142
1181482.11669922,35144
1181489.92919922,35143
1181497.74169922,35146
1181505.55419922,35146
1181513.36669922,35148
1181521.17919922,35148
1181528.99169922,35146
1181536.80419922,35149
1181544.61669922,35150
1181552.42919922,35151
1181560.24169922,35151
1181568.05419922,35151
1181575.86669922,35154
1181583.67919922,35152
1181591.49169922,35155
1181599.30419922,35154
1181607.11669922,35160
1181614.92919922,35157
1181622.74169922,35158
1181630.55419922,35157
1181638.36669922,35164
1181646.17919922,35159
1181653.99169922,35160
1181661.80419922,35160
1181669.61669922,35164
1181677.42919922,35164
1181685.24169922,35165
1181693.05419922,35164
1181700.86669922,35167
1181708.67919922,35165
1181716.49169922,35166
1181724.30419922,35171
1181732.11669922,35173
1181739.92919922,35171
1181747.74169922,35171
1181755.55419922,35170
1181763.36669922,35174
1181771.17919922,35184
1181778.99169922,35174
1181786.80419922,35173
1181794.61669922,35177
1181802.42919922,35184
1181810.24169922,35175
1181818.05419922,35175
1181825.86669922,35179
1181833.67919922,35177
1181841.49169922,35179
1181849.30419922,35177
1181857.11669922,35183
1181864.92919922,35178
1181872.74169922,35179
1181880.55419922,35182
1181888.36669922,35183
1181896.17919922,35181
1181903.99169922,35181
1181911.80419922,35183
1181919.61669922,35183
1181927.42919922,35183
1181935.24169922,35185
1181943.05419922,35185
1181950.86669922,35186
1181958.67919922,35186
1181966.49169922,35185
1181974.30419922,35185
1181982.11669922,35187
1181989.92919922,35188
1181997.74169922,35189
1182005.55419922,35186
1182013.36669922,35189
1182021.17919922,35190
1182028.99169922,35190
1182036.80419922,35190
1182044.61669922,35190
1182052.42919922,35191
1182060.24169922,35191
1182068.05419922,35190
1182075.86669922,35191
1182083.67919922,35192
1182091.49169922,35190
1182099.30419922,35192
1182107.11669922,35192
1182114.92919922,35193
1182122.74169922,35191
1182130.55419922,35194
1182138.36669922,35192
1182146.17919922,35193
1182153.99169922,35193
1182161.80419922,35194
1182169.61669922,35194
1182177.42919922,35192
1182185.24169922,35194
1182193.05419922,35194
1182200.86669922,35193
1182208.67919922,35194
1182216.49169922,35193
1182224.30419922,35194
1182232.11669922,35193
1182239.92919922,35191
1182247.74169922,35193
1182255.55419922,35190
1182263.36669922,35192
1182271.17919922,35191
1182278.99169922,35192
1182286.80419922,35193
1182294.61669922,35190
1182302.42919922,35191
1182310.24169922,35190
1182318.05419922,35193
1182325.86669922,35191
1182333.67919922,35190
1182341.49169922,35189
